date,Governorate,District,Village Name/ /ozla,Type,Facility name,Phase,Status,Comments (if any),Installed/planned capacity (kW),Male Beneficiaries (approx.),Female Beneficiaries (approx.),Total Beneficiaries (approx.),Coordinate
2025-07-15,Shabwah,Markhah As Sufla,Khorah Center,School,Az-Zahrah School - Khorah,Roll-Out-1,Energized,Lot-1,6.6,0.0,717.0,717,"14.432600,46.152874"
2025-07-15,Shabwah,At Talh,Kerathah,School,Kerathah School,Roll-Out-1,Energized,Lot-1,6.6,0.0,185.0,185,"14.999359,47.173228"
2025-07-15,Shabwah,As Said,Al-Sadiyah,School,Al-Sadiyah School,Roll-Out-1,Energized,Lot-1,4.4,102.0,108.0,210,"14.368332,46.910948"
2025-07-15,Shabwah,Ataq,Ataq,School,Albayhani School,Roll-Out-1,Energized,Lot-1,22.0,0.0,1046.0,1046,"14.521533,46.852196"
2025-07-15,Shabwah,Ataq,Ataq,School,Belqees School,Roll-Out-1,Energized,Lot-1,22.0,0.0,1400.0,1400,"14.538336,46.827681"
2025-07-15,Shabwah,Habban,Huda,Clinic,Al-Huda Health Center,Roll-Out-1,Energized,Lot-1,6.6,1692.0,2112.0,3804,"14.217443,47.165805"
2025-07-15,Shabwah,At Talh,At-Talh,Clinic,At-Talh Hospital - Shawah,Roll-Out-1,Energized,Lot-1,22.0,2800.0,2847.0,5647,"15.154870,47.402301"
2025-07-15,Shabwah,Osaylan,Al-Noqob,Clinic,Al-Noqob Health Center,Roll-Out-1,Energized,Lot-1,6.6,1308.0,1440.0,2748,"14.986835,45.789649"
2025-07-15,Shabwah,Ar Rawdah,Ar Rawdah,Clinic,Ar-Rawdha Hospital,Roll-Out-1,Energized,Lot-1,52.8,4020.0,4130.0,8150,"14.476546, 47.273253"
2025-07-15,Shabwah,Nisab,Al-Hanak,Clinic,Al-Hanak Health Center,Roll-Out-1,Energized,Lot-1,8.8,1368.0,2004.0,3372,"14.312601,46.670971"
2025-07-15,Shabwah,Radum,Rodhom,Clinic,Rodhom Hospital,Roll-Out-1,Energized,Lot-1,52.8,8592.0,14448.0,23040,"14.092906,47.725827"
2025-07-15,Al Maharah,Qishn,Al Mensaf,School,Al Mensaf School,Roll-Out-1,Energized,Lot-1,6.6,171.0,124.0,295,"15.430968,51.688211"
2025-07-15,Al Maharah,Sayhut,Saihout,School,Az-Zahrah School,Roll-Out-1,Energized,Lot-1,6.6,0.0,270.0,270,"15.209743,51.252464"
2025-07-15,Al Maharah,Al Ghaydhah,Alabri,School,Khawlah School,Roll-Out-1,Energized,Lot-1,8.8,0.0,349.0,349,"16.229806,52.187072"
2025-07-15,Al Maharah,Haswin,Kudaifoot,School,Radfan School,Roll-Out-1,Energized,Lot-1,13.2,231.0,238.0,469,"15.633166,52.162804"
2025-07-15,Al Maharah,Al Masilah,Al Ais,School,Saeed Naseeb School,Roll-Out-1,Energized,Lot-1,8.8,290.0,297.0,587,"15.235521,51.11021"
2025-07-15,Al Maharah,Manar,Wadi Makrm,Clinic,Karawi Health Center,Roll-Out-1,Energized,Lot-1,13.2,2600.0,3100.0,5700,"15.906818,50.971675"
2025-07-15,Al Maharah,Shahin,Matn,Clinic,Al-Sultan Qaboos Hospital,Roll-Out-1,Energized,Lot-1,41.8,5680.0,6320.0,12000,"17.801092, 52.547247"
2025-07-15,Al Maharah,Manar,Arbabut,Clinic,Arnabut Health Center,Roll-Out-1,Energized,Lot-1,13.2,2260.0,2300.0,4560,"16.455113, 50.527976"
2025-07-15,Lahj,Al Qubaytah,Souq Al-Khamis,Clinic,Souq Al-Khamis Health Center,Roll-Out-1,Energized,Lot-2,4.4,1164.0,1284.0,2448,"13.2395,44.38818"
2025-07-15,Lahj,Yafi,Al-Quaiti,School,Al-Qaiti School,Roll-Out-1,Energized,Lot-2,6.6,180.0,240.0,420,"13.87671,45.21305"
2025-07-15,Lahj,Yahr,Yaher,School,Ash-Shaheed Said Abdulmuhsen School,Roll-Out-1,Energized,Lot-2,6.6,540.0,752.0,1292,"13.774110, 45.220180"
2025-07-15,Lahj,Tuban,Al-Jarba'a,School,Mojama'a Al-Saeed School,Roll-Out-1,Energized,Lot-2,13.2,0.0,3590.0,3590,"12.99506,44.91443"
2025-07-15,Lahj,Yafi,Hobat,School,Al-Khansa School,Roll-Out-1,Energized,Lot-2,6.6,0.0,327.0,327,"13.885818, 45.224311"
2025-07-15,Lahj,Yafi,AL-SALAM,School,Mojama'a Al-Awdi,Roll-Out-1,Energized,Lot-2,13.2,898.0,1075.0,1973,"13.871667, 45.25388"
2025-07-15,Aden,Dar Sad,Al-Basateen,School,Khawlah Bint Al-Azwar School,Roll-Out-1,Energized,Lot-2,8.8,0.0,2040.0,2040,"12.883390, 44.977996"
2025-07-15,Aden,Al Burayqah,Enma'a,School,Abu Harb School,Roll-Out-1,Energized,Lot-2,13.2,0.0,1800.0,1800,"12.838791, 44.956400"
2025-07-15,Aden,Al Burayqah,Al_hoswa,School,Asma Bint Abu Baker School,Roll-Out-1,Energized,Lot-2,13.2,0.0,1661.0,1661,"12.836111, 44.947500"
2025-07-15,Aden,Al Mansurah,Abd_alaziz,School,Ba-Theb School,Roll-Out-1,Energized,Lot-2,17.6,0.0,1040.0,1040,"12.861722, 44.995667"
2025-07-15,Aden,Al Mansurah,Alkatherey,School,Mojamma Al-Mehdhar (Ali Salem Baraba'a),Roll-Out-1,Energized,Lot-2,17.6,0.0,1400.0,1400,"12.873556, 44.979722"
2025-07-15,Aden,Ash Shaykh Othman,Almomdarah,School,Al-Mmdarah Girl School,Roll-Out-1,Energized,Lot-2,13.2,0.0,3050.0,3050,"12.875000, 45.008611"
2025-07-15,Ad Dali,Ad Dali,Ad-Dhale'a,School,Ali Mohammed Saleh School,Roll-Out-1,Energized,Lot-2,8.8,0.0,1330.0,1330,"13.698889, 44.731667"
2025-07-15,Ad Dali,Ad Dali,Al hood,School,Abdullah Hamoud Al-Samni School,Roll-Out-1,Energized,Lot-2,6.6,580.0,520.0,1100,"13.717500, 44.722778"
2025-07-15,Ad Dali,Ad Dali,lakmat Salah,School,Abdullah Abduldaim School,Roll-Out-1,Energized,Lot-2,6.6,720.0,780.0,1500,"13.793689, 44.720595"
2025-07-15,Ad Dali,Ad Dali,Al_bajah,School,Abdullah Abdulkareem School,Roll-Out-1,Energized,Lot-2,4.4,400.0,387.0,787,"13.806944, 44.708611"
2025-07-15,Ad Dali,Al Azariq,qared,School,Oqbah Bin Nafe'a School,Roll-Out-1,Energized,Lot-2,4.4,430.0,520.0,950,"13.671832, 44.710780"
2025-07-15,Taiz,Al Mawasit,AL-AYIN,Clinic,Al-Ayn Health Center,Roll-Out-1,Energized,Lot-2,8.8,3180.0,5568.0,8748,"13.32862,44.08366"
2025-07-15,Taiz,Mashrah Wa Hadnan,HADNAN,Clinic,Al-Shefa'a Health Unit,Roll-Out-1,Energized,Lot-2,4.4,578.0,1406.0,1984,"13.54129,43.99725"
2025-07-15,Taiz,Dhubab,AL-JADEED,School,Omer Bin Abdulaziz School,Roll-Out-1,Energized,Lot-2,6.6,170.0,206.0,376,"13.12137,43.32702"
2025-07-15,Taiz,Al Maafer,Al-SENAH,School,Ash-Shaheed Abdu Qasem School,Roll-Out-1,Energized,Lot-2,4.4,250.0,341.0,591,"13.34813,44.0196"
2025-07-15,Abyan,Mudiyah,Mudiyah,School,Mudiyah Girl School,Roll-Out-1,Energized,Lot-2,6.6,895.0,1105.0,2000,"14.132725, 43.390203"
2025-07-15,Abyan,Lawdar,Amagel,School,Al-Faqeed Alalah School,Roll-Out-1,Energized,Lot-2,6.6,0.0,234.0,234,"15.236850, 43.238844"
2025-07-15,Abyan,Al Wadi',Al Batan,School,Abdullalah Shaikh School,Roll-Out-1,Energized,Lot-2,4.4,300.0,325.0,625,"15.327442, 43.168225"
2025-07-15,Abyan,Rassd,Rosod,Clinic,Rosod General Hospital,Roll-Out-1,Energized,Lot-2,41.8,120.0,180.0,300,"14.684006, 43.328747"
2025-07-15,Al Hodeidah,Al Jarrahi,Al Jarahi,Clinic,Al Jarahi Old Health Center,Roll-Out-1,Energized,Lot-3,41.8,870.0,930.0,1800,"14.676056, 43.550539"
2025-07-15,Al Hodeidah,Ad Dohi,Al Madman,Clinic,Al Madman Health Center,Roll-Out-1,Energized,Lot-3,6.6,2160.0,2640.0,4800,"14.578203, 43.639961"
2025-07-15,Al Hodeidah,Al Mighlaf,AL HADADIAH,Clinic,Al Hadadiah Health Center,Roll-Out-1,Energized,Lot-3,6.6,3240.0,3360.0,6600,"14.649647, 43.691425"
2025-07-15,Al Hodeidah,Al Mansuriyah,Al Maibaliah,Clinic,Al Maibaliah Health Center,Roll-Out-1,Energized,Lot-1,4.4,2280.0,2520.0,4800,"14.010236, 45.565268"
2025-07-15,Raymah,Al Jabin,Al Ribat,Clinic,Al Ribat Health Center,Roll-Out-1,Energized,Lot-3,4.4,1800.0,2400.0,4200,"14.418948,44.836313"
2025-07-15,Raymah,Kusmah,Kusmah,Clinic,Kosmah Health Center,Roll-Out-1,Energized,Lot-3,8.8,1944.0,2256.0,4200,"13.994454, 44.220831"
2025-07-15,Raymah,Mazhar,Al Qausaia,Clinic,Al Qusaia Health Center,Roll-Out-1,Energized,Lot-3,8.8,2700.0,4500.0,7200,"14.007240, 44.291559"
2025-07-15,Al Bayda,Al Bayda City,Al-Baydha,Clinic,Al-Zahra Dialysis Center,Roll-Out-1,Energized,Lot-3,72.6,1128.0,516.0,1644,"13.998337, 44.118586"
2025-07-15,Al Bayda,Rada,Rada'a,Clinic,Maternity Center and Childhood Health Center,Roll-Out-1,Energized,Lot-3,41.8,0.0,30168.0,30168,"13.917101, 44.409534"
2025-07-15,Ibb,Ibb,Manzel Mosa,Clinic,Manzel Mussa Health Center,Roll-Out-1,Energized,Lot-3,13.2,423.0,477.0,900,"14.029489, 44.311045"
2025-07-15,Ibb,Badan,Haisan,Clinic,Hayssan Health Center,Roll-Out-1,Energized,Lot-3,13.2,120.0,130.0,250,"13.712747, 45.302668"
2025-07-15,Ibb,Ibb,Al Yahari,Clinic,Al-Yahari Health Center,Roll-Out-1,Energized,Lot-3,13.2,4944.0,5856.0,10800,"13.927472, 46.082583"
2025-07-15,Ibb,Badan,Al Atharib,Clinic,Al-A'thareb Health Center,Roll-Out-1,Energized,Lot-3,8.8,840.0,960.0,1800,"13.807211, 45.774212"
2025-07-15,Ibb,Ash Shair,Al Dhawhar,Clinic,Al-Dhawher Health Center,Roll-Out-1,Energized,Lot-3,6.6,2400.0,3000.0,5400,"13.826232, 46.039108"
2025-07-15,Dhamar,Dawran Anis,Al Tashleel,Clinic,At-Tashleel Health Center,Roll-Out-1,Energized,Lot-3,4.4,2160.0,3600.0,5760,"14.705611,44.272816"
2025-07-15,Dhamar,Jahran,Al Sanam,Clinic,Al-Sanam Health Center,Roll-Out-1,Energized,Lot-3,8.8,2520.0,2880.0,5400,"14.543358,44.264926"
2025-07-15,Dhamar,Ans,Kherbat Abu Yabis,Clinic,Kherbat Abu Yabis Hospital,Roll-Out-1,Energized,Lot-3,22.0,715.0,785.0,1500,"14.480246,44.222388"
2025-07-15,Dhamar,Al Hada,Zoragah,Clinic,Zorajah Hospital,Roll-Out-1,Energized,Lot-3,22.0,815.0,985.0,1800,"14.86317,44.383581"
2025-07-15,Dhamar,Jahran,AL Helah,Clinic,Al-Helah Health Center,Roll-Out-1,Energized,Lot-3,6.6,170.0,200.0,370,"14.643782,44.275976"
2025-07-15,Al Bayda,Mukayras,Mukairas,Clinic,Ash-Shaheed Omer Ali (Al-Mukairas) Hospital,Roll-Out-1,Energized,Lot-3,41.8,1950.0,2370.0,4320,"13.940195,45.671206"
2025-07-15,Al Bayda,Al Malajim,A'afar,Clinic,A'afar Health Center,Roll-Out-1,Energized,Lot-3,6.6,1100.0,1146.0,2246,"14.261055, 45.320347"
2025-07-15,Al Bayda,Mukayras,Eariab,Clinic,Eariab-Health Center,Roll-Out-1,Energized,Lot-3,6.6,720.0,812.0,1532,"13.928693,45.709832"
2025-07-15,Al Bayda,Al Arsh,Qarn Al-Asad,Clinic,Qarn Al-Asad-Health Center,Roll-Out-1,Energized,Lot-3,6.6,2200.0,2360.0,4560,"14.354766,44.820125"
2025-07-15,Sana'a,Manakhah,Al-Aghmor,Clinic,Al-Aghmor Health Center,Roll-Out-1,Energized,Lot-3,8.8,2340.0,3060.0,5400,"15.11953,43.77211"
2025-07-15,Sana'a,Manakhah,Bani- Ismaeel,Clinic,Bani- Ismaeel Health Center,Roll-Out-1,Energized,Lot-3,6.6,2232.0,3384.0,5616,"15.164059,43.624629"
2025-07-15,Sana'a,Khawlan,AL A'aroosh,Clinic,Al-A'aroosh Rural Hospital,Roll-Out-1,Energized,Lot-3,52.8,12000.0,13000.0,25000,"15.285243, 44.733687"
2025-07-15,Hajjah,Bani Qays,Bani Qais,Clinic,Al-Tour Hospital,Roll-Out-1,Energized,Lot-3,17.6,8100.0,9900.0,18000,"15.59848,43.39157"
2025-07-15,Hajjah,Aflah Ash Sham,Aflah Al-Sham,Clinic,Aflah Al-Sham Health Center,Roll-Out-1,Energized,Lot-3,8.8,10341.0,8461.0,18802,"16.04738,43.42371"
2025-07-15,Al Mahwit,Shibam,Al Hisn,Clinic,Al-Hisn Health Center,Roll-Out-1,Energized,Lot-3,4.4,3180.0,4020.0,7200,"15.47982, 43.874543"
2025-07-15,Al Mahwit,At Tawilah,Al Najrah,Clinic,Al-Nagrah Health Center,Roll-Out-1,Energized,Lot-3,4.4,1644.0,1956.0,3600,"15.443497, 43.785072"
2025-07-15,Hadramawt,As Sawm,As Sawm,Well,Al Sawm # 3,Package#1,Energized,Lot-1,33.0,2903.0,3797.0,6700,"16.207579, 49.289848"
2025-07-15,Hadramawt,As Sawm,As Sawm,Well,Al Sawm # 4,Package#1,Energized,Lot-1,33.0,2231.0,2919.0,5150,"16.206913,49.289662"
2025-07-15,Hadramawt,Wadi Al Ayn,Wadi Al Ayn,Well,Hawarah #2,Package#1,Energized,Lot-1,33.0,2715.0,2885.0,5600,"15.706653, 48.296941"
2025-07-15,Hadramawt,Al Qatn,Al Qatn,Well,Mnwab # 1,Package#1,Energized,Lot-1,33.0,3046.0,3454.0,6500,"15.738409,48.375663"
2025-07-15,Hadramawt,Wadi Al Ayn,Wadi Al Ayn,Well,Qaeuda # 2,Package#1,Energized,Lot-1,49.5,3515.0,3985.0,7500,"15.760558, 48.271083"
2025-07-15,Hadramawt,Dawan,Dawan,Well,Al Adeia,Package#1,Energized,Lot-1,49.5,1453.0,1647.0,3100,"15.355052,48.347742"
2025-07-15,Hadramawt,Ghayl Bin Yamin,Ghayl Bin Yamin,Well,Al-Alealib,Package#1,Energized,Lot-1,49.5,1734.0,1966.0,3700,"15.132503,49.060003"
2025-07-15,Hadramawt,Ghayl Bin Yamin,Ghayl Bin Yamin,Well,Al Qarn,Package#1,Energized,Lot-1,66.0,1851.0,2249.0,4100,"15.131486, 49.109960"
2025-07-15,Hadramawt,Ghayl Bin Yamin,Ghayl Bin Yamin,Well,Raidt Al Jouhi,Package#1,Energized,Lot-1,57.75,1968.0,2092.0,4060,"15.206943, 49.020505"
2025-07-15,Hadramawt,Ghayl Bawazir,Ghayl Bawazir,Well,Abdullah Gharib,Package#1,Energized,Lot-1,49.5,2483.0,3017.0,5500,"14.834579, 49.177802"
2025-07-15,Hadramawt,Haridah,Haridah,Well,Huridah,Package#1,Energized,Lot-1,57.75,3296.0,3504.0,6800,"15.603096, 48.186014"
2025-07-15,Al Maharah,Sayhut,Sayhut,Well,Eitab,Package#1,Energized,Lot-1,33.0,2166.0,2834.0,5000,"15.343730,51.469978"
2025-07-15,Al Maharah,Sayhut,Sayhut,Well,Rakhawat Al Sharqia,Package#1,Energized,Lot-1,16.5,918.0,1042.0,1960,"15.301847, 51.378493"
2025-07-15,Al Maharah,Al Ghaydhah,Al Ghaydhah,Well,Dabuwt,Package#1,Energized,Lot-1,57.75,2574.0,3126.0,5700,"16.075601,52.083369"
2025-07-15,Al Maharah,Al Masilah,Al Masilah,Well,Oman#1,Package#1,Energized,Lot-1,49.5,2715.0,2885.0,5600,"15.237926,51.101922"
2025-07-15,Al Maharah,Al Masilah,Al Masilah,Well,Oman#2,Package#1,Energized,Lot-1,49.5,2671.0,3029.0,5700,"15.239960,51.100919"
2025-07-15,Al Maharah,Al Masilah,Al Masilah,Well,Al-Masila Well #2,Package#1,Energized,Lot-1,49.5,2666.0,2834.0,5500,"15.239183,51.101577"
2025-07-15,Al Maharah,Al Masilah,Al Masilah,Well,Al-Masila Well #3,Package#1,Energized,Lot-1,49.5,2036.0,2664.0,4700,"15.235180,51.103679"
2025-07-15,Al Maharah,Al Ghaydhah,Al Ghaydhah,Well,Fori Field Well # 5,Package#1,Energized,Lot-1,57.75,3251.0,3949.0,7200,"16.090205,52.047424"
2025-07-15,Al Maharah,Al Ghaydhah,Al Ghaydhah,Well,Fori Field Well #7,Package#1,Energized,Lot-1,57.75,3478.0,3942.0,7420,"16.090205,52.038692"
2025-07-15,Al Maharah,Al Ghaydhah,Al Ghaydhah,Well,Fori Field Well #6,Package#1,Energized,Lot-2,57.75,3163.0,4137.0,7300,"16.089898, 52.042782"
2025-07-15,Dhamar,Wusab As Safil,Al Ahad,Clinic,Al-Ahad Rural Hospital,Roll-Out-2,Energized,Lot-1,22.0,24000.0,44532.0,68532,"14.258517,43.650083"
2025-07-15,Dhamar,Wusab As Safil,Bait Al Ba'adani,Clinic,Bait Al Ba'adani Health Center,Roll-Out-2,Energized,Lot-1,8.8,1200.0,2400.0,3600,"14.2802,43.59508333"
2025-07-15,Dhamar,Jabal Ash sharq,Al Sharq City,Clinic,Jabal Al-Sharq Rural Hospital,Roll-Out-2,Energized,Lot-1,22.0,23000.0,27000.0,50000,"14.63705, 43.955433"
2025-07-15,Dhamar,Jabal Ash sharq,AL Hadhar,Clinic,Al-Hadhar Health Center,Roll-Out-2,Energized,Lot-1,6.6000000000000005,6480.0,7920.0,14400,"14.695633, 43.972933"
2025-07-15,Dhamar,Ans,Ethmed Ya'ar,Clinic,Ethmed Ya'ar Health Center,Roll-Out-2,Energized,Lot-1,6.6000000000000005,1200.0,1800.0,3000,"14.5667833, 44.19345"
2025-07-15,Dhamar,Jahran,Ma'abar,Clinic,Ma'abar Health Center,Roll-Out-2,Energized,Lot-2,13.200000000000001,12591.0,16000.0,28591,"14.7969833, 44.3005"
2025-07-15,Al Jawf,Al Khalaq,Al-Khalq,Clinic,Al-Khalq General Health Center,Roll-Out-2,Energized,Lot-2,22.0,5756.0,8635.0,14391,"16.058570 , 44.810751"
2025-07-15,Sana'a,Sanaa City Outskirts -Sanhan wa Bani Bahlul,Al Dhaba'at,Clinic,Al-Dhaba'at Health Center,Roll-Out-2,Energized,Lot-2,8.8,1800.0,3000.0,4800,"15.3652,44.36341667"
2025-07-15,Sana'a,Bani Matar,Masiab,Clinic,Masiab Health Center,Roll-Out-2,Energized,Lot-2,8.8,3600.0,4800.0,8400,"15.343583,43.988283"
2025-07-15,Sana'a,Hamdan,Khalaqa,Clinic,Khalaqa Health Center,Roll-Out-2,Energized,Lot-2,8.8,5440.0,7000.0,12440,"15.49815, 43.93115"
2025-07-15,Sana'a,Al Haymah Al Kharijiyah,Al-Khamis,Clinic,Al-Manar Hospital,Roll-Out-2,Energized,Lot-2,17.6,15000.0,20000.0,35000,"15.147338,43.943637"
2025-07-15,Al Mahwit,Al Mahwit,Al Orqoap,Clinic,Al-Orqoup Health Center,Roll-Out-2,Energized,Lot-2,8.8,2220.0,3780.0,6000,"15.46359, 43.492499"
2025-07-15,Al Mahwit,At Tawilah,Oslah,Clinic,Oslah Health Center,Roll-Out-2,Energized,Lot-2,4.4,360.0,600.0,960,"15.519992, 43.742916"
2025-07-15,Al Mahwit,Al Khabt,Al Sha'afel,Clinic,Al-Sha'afel Al-Sofla'a Health Center,Roll-Out-2,Energized,Lot-2,4.4,2100.0,3200.0,5300,"15.455313, 43.282899"
2025-07-15,Al Mahwit,Hufash,Bait Al Shama'a,Clinic,Bait Al Shama'a Health Center,Roll-Out-2,Energized,Lot-2,6.6000000000000005,480.0,1080.0,1560,"15.406791, 43.452977"
2025-07-15,Al Mahwit,Bani Sad,Sarea,Clinic,Juma'at Saria Health Center,Roll-Out-2,Energized,Lot-2,8.8,2355.0,4500.0,6855,"15.312179, 43.516078"
2025-07-15,Al Mahwit,At Tawilah,Thariaha,Clinic,Al-Thawarih Health Center,Roll-Out-2,Energized,Lot-2,4.4,720.0,1080.0,1800,"15.531989, 43.774560"
2025-07-15,Al Mahwit,Al Khabt,Al Hajaf,Clinic,Al Hajaf Health Center,Roll-Out-2,Energized,Lot-2,6.6000000000000005,1805.0,2945.0,4750,"15.522229, 43.375014"
2025-07-15,Taiz,Hayfan,Al-Ram,Clinic,Al-Ram Health Center (Al-Haj Ali Dermim Hospital),Roll-Out-2,Energized,Lot-2,41.800000000000004,1560.0,2820.0,4380,"13.276511, 44.266308"
2025-07-15,Taiz,Hayfan,WA'ALAN,Clinic,Al-Sa'eed Wa'lan Health Center,Roll-Out-2,Energized,Lot-2,6.6000000000000005,1440.0,2232.0,3672,"13.346986, 44.258263"
2025-07-15,Dhamar,Al Hada,Al Baradoon,Clinic,Al Baradoon Rural Hospital,Roll-Out-2,Energized,Lot-2,52.8,9600.0,14400.0,24000,"14.717689, 44.582888"
2025-07-15,Taiz,Sharab Ar Rawnah,Karbah,Clinic,Al-Qohaim Health Center,Roll-Out-2,Energized,Lot-2,13.200000000000001,1440.0,2508.0,3948,"13.7110894,43.8224918"
2025-07-15,Taiz,Maqbanah,Al-Barh,Clinic,Maternity and Childhoods (Ibn Al-Nafis) Health Center,Roll-Out-2,Energized,Lot-2,8.8,1070.0,1901.0,2971,"13.443139, 43.705583"
2025-07-15,Taiz,Maqbanah,Almadhaf,Clinic,Al-Zawiay Mirab Health Center,Roll-Out-2,Energized,Lot-2,13.200000000000001,3000.0,6000.0,9000,"13.734472, 43.721472"
2025-07-15,Taiz,At Taiziyah,Alrawanea,Clinic,Al-Hussain Health Center,Roll-Out-2,Energized,Lot-2,8.8,2508.0,2892.0,5400,"13.7110060,43.9243370"
2025-07-15,Taiz,At Taiziyah,A'akam Sa'ad,Clinic,Al-Shawkani Health Center,Roll-Out-2,Energized,Lot-2,6.6000000000000005,2316.0,2508.0,4824,"13.7455694,44.1048023"
2025-07-15,Hajjah,Bani Al Awam,Bani Al Awam,Clinic,Bani Al-Awam Health Center,Roll-Out-2,Energized,Lot-2,17.6,8002.0,9735.0,17737,"15.57392, 43.58284"
2025-07-15,Hajjah,Al Maghrabah,Al Maghrabah,Clinic,Nisa Health Center,Roll-Out-2,Energized,Lot-2,6.6000000000000005,3624.0,4944.0,8568,"15.83534, 43.62068"
2025-07-15,Hajjah,Aslam,Aldhahr,Clinic,Maternity and Childhood Center in Al-Dhahir,Roll-Out-2,Energized,Lot-2,8.8,7500.0,8580.0,16080,"16.002418, 43.303615"
2025-07-15,Al Hodeidah,Al Qanawis,Al Qanawis,Clinic,Al Qanawis Hospital for Maternity,Roll-Out-2,Energized,Lot-2,72.6,29760.0,30240.0,60000,"15.491989, 43.132394"
2025-07-15,Al Hodeidah,Al Mansuriyah,Al hasiah,Clinic,Al-Hasiah Health Center,Roll-Out-2,Energized,Lot-2,6.6000000000000005,1020.0,1380.0,2400,"14.705974, 43.438896"
2025-07-15,Al Hodeidah,Al Mansuriyah,Al Maibaliah,Clinic,Al-Radhiah Health Center,Roll-Out-2,Energized,Lot-2,6.6000000000000005,4020.0,4980.0,9000,"14.655926, 43.364170"
2025-07-15,Al Hodeidah,Zabid,Al Moqar,Clinic,Al-Moqar Health Center,Roll-Out-2,Energized,Lot-2,8.8,4200.0,7800.0,12000,"14.215301, 43.462179"
2025-07-15,Al Hodeidah,Zabid,Al Morshidiah,Clinic,Al-Morshidiah Health Center,Roll-Out-2,Energized,Lot-3,6.6000000000000005,2760.0,3240.0,6000,"14.176426, 43.441421"
2025-07-15,Al Hodeidah,Al Mighlaf,Al Mighlaf,Clinic,Al-Maslobah Health Center,Roll-Out-2,Energized,Lot-3,6.6000000000000005,2820.0,3180.0,6000,"15.359650, 43.163665"
2025-07-15,Al Hodeidah,Al Mighlaf,Al Mighlaf,Clinic,Al-Mahjam Health Center,Roll-Out-2,Energized,Lot-3,4.4,2880.0,3120.0,6000,"15.300947, 43.139017"
2025-07-15,Al Hodeidah,Al Munirah,Al Monirah,Clinic,Al-Moghidifiah Health Center,Roll-Out-2,Energized,Lot-3,6.6000000000000005,3360.0,3840.0,7200,"15.422581, 42.960661"
2025-07-15,Al Hodeidah,Az Zaydiah,Dir Al quraiti,Clinic,Dir Al-Quraiti Health Center,Roll-Out-2,Energized,Lot-3,8.8,3840.0,4560.0,8400,"15.403251, 43.164683"
